1,9197,9896,10000,9197,9896,10000,9197,9790,10000
2,8383,9792,7209,6856,9077,5528,8360,9790,8085
3,7582,9684,4820,5441,8536,3336,7501,9694,6248
4,6821,9583,3213,4414,8119,2270,6669,9607,4743
5,6032,9470,2447,3600,7762,1795,5801,9506,3864
6,5296,9381,2090,2934,7447,1593,4976,9405,2855
7,4562,9290,1911,2371,7164,1442,4111,9310,1886
8,3897,9194,1806,1917,6909,1307,3306,9220,1530
9,3223,9085,1726,1543,6672,1195,2541,9122,1398
10,2613,8973,1659,1233,6451,1103,1825,9036,1306
11,2098,8870,1588,986,6244,1027,1367,8944,1253
12,1659,8779,1517,898,6048,958,1312,8857,1214
13,1370,8673,1443,839,5865,897,1238,8772,1186
14,1190,8567,1380,798,5693,842,1171,8668,1157
15,1080,8465,1327,762,5539,800,1092,8574,1121
16,1001,8377,1280,730,5389,760,1088,8466,1094
17,959,8266,1234,703,5243,725,1038,8366,1070
18,918,8153,1197,677,5101,692,986,8260,1051
19,898,8057,1155,652,4963,660,979,8155,1027
20,877,7949,1118,629,4829,629,948,8060,999
21,869,7834,1074,608,4698,598,881,7959,973
22,858,7738,1036,589,4570,570,872,7866,950
23,852,7638,985,570,4447,542,862,7776,934
24,835,7554,957,551,4330,519,846,7684,914
25,822,7464,934,532,4216,499,831,7595,884
26,810,7372,903,516,4106,479,821,7487,866
27,794,7281,873,500,3997,459,807,7385,842
28,787,7172,837,486,3892,441,797,7270,825
29,783,7078,815,473,3789,423,788,7174,796
30,773,6979,792,460,3688,405,777,7101,781
31,761,6877,767,447,3589,388,763,6996,763
32,749,6789,736,436,3495,372,749,6878,740
33,735,6683,716,426,3402,356,735,6766,729
34,723,6569,690,416,3310,341,725,6685,714
35,710,6476,673,406,3219,326,706,6590,689
36,699,6386,649,397,3130,312,695,6490,673
37,689,6293,625,388,3044,299,684,6395,650
38,675,6198,605,379,2961,286,673,6300,643
39,665,6088,581,370,2880,275,657,6188,623
40,654,5980,558,360,2803,264,645,6086,599
41,641,5883,546,351,2727,254,633,5970,583
42,630,5777,528,343,2653,244,619,5886,562
43,613,5691,510,335,2580,234,619,5787,545
44,601,5576,500,327,2508,224,612,5674,522
45,591,5483,472,319,2438,215,605,5575,502
46,583,5405,449,312,2369,206,595,5490,478
47,566,5287,416,305,2301,198,586,5382,471
48,560,5215,396,298,2234,190,570,5290,460
49,551,5110,378,291,2168,183,563,5175,443
50,546,5009,359,284,2103,176,554,5070,429
